country_x,economic_status,value,coastal_population,per_plastic
Albania,LMI,1948510,2530533,9
Algeria,UMI,19867896,16556580,12
Angola,LMI,1819220,3790041,13
Anguilla,HIC,30578,14561,12
Antigua & Barbuda,HIC,367637,66843,12
Argentina,UMI,20068079,16449245,15
Aruba,HIC,289611,137910,12
Australia,HIC,38436177,17235954,5
Bahamas,HIC,1108721,341145,12
Bahrain,HIC,817931,743574,12
Bangladesh,LI,30475873,70874124,8
Barbados,HIC,1314724,276784,12
Belgium,HIC,6314783,4747957,6
Belize,UMI,580971,202429,6
Benin,LI,1747126,3235418,8
Bermuda,HIC,140629,66966,12
Bosnia and Herzegovina,UMI,702698,585582,12
Brazil,UMI,76937674,74696771,16
British Virgin Islands,HIC,62315,29674,12
Brunei,HIC,313088,359871,3
Bulgaria,UMI,1283450,1002695,12
Burma/Myanmar,LI,8354950,18988522,17
Cambodia,LI,834752,1391254,11
Cameroon,LMI,1529777,1986723,6
Canada,HIC,27603191,11846863,4
Cape Verde,LMI,261123,522245,13
Cayman Islands,HIC,108914,51864,12
Channel Islands,HIC,322039,153352,12
Chile,UMI,6071274,5621550,11
China,UMI,289181626,262892387,11
Christmas Island,HIC,2944,1402,12
Cocos Islands,HIC,1252,596,12
Colombia,UMI,8998276,7498563,12
Comoros,LI,2093067,938595,9
Congo Rep of,LMI,449338,847807,13
"Congo, Dem rep. of",LI,538028,1076056,9
Cook Islands,UMI,25121,20934,12
Costa Rica,UMI,3371845,2479298,19
Cote d'Ivoire,LMI,4922161,6230583,13
Croatia,HIC,3365842,1602782,12
Cuba,UMI,9180112,11333471,11
Curacao,HIC,301946,143784,12
Cyprus,HIC,1739951,840556,12
Denmark,HIC,12580743,5376386,2
Dhekelia,HIC,32970,15700,12
Djibouti,LMI,491178,621744,13
Dominica,UMI,86971,70138,12
Dominican Republic,UMI,9879103,8232586,12
East Timor,LMI,528312,668749,13
Ecuador,LMI,7232054,6400048,13
Egypt,LMI,29798792,21750943,13
El Salvador,LMI,7244120,6410726,13
Equatorial Guinea,UMI,421920,351600,12
Eritrea,LI,633111,1266222,9
Estonia,HIC,1290691,878021,12
Falkland Islands,HIC,5464,2602,12
Faroe Islands,HIC,106163,50554,12
Fiji,UMI,1881905,896145,9
Finland,HIC,6235946,2927674,11
France,HIC,33191578,17287280,10
French Guiana,UMI,201157,167631,12
French Polynesia,HIC,568298,270618,12
Gabon,UMI,388048,862328,12
Georgia,LMI,1899981,1124249,4
Germany,HIC,18646144,8837035,23
Ghana,LMI,6104885,7727702,5
Gibraltar,HIC,70314,33483,12
Greece,HIC,19589404,9794702,10
Greenland,HIC,119843,57068,12
Grenada,UMI,260488,96121,12
Guadeloupe,UMI,559399,466166,12
Guam,HIC,400699,190809,12
Guatemala,LMI,4784884,2392442,14
Guernsey,HIC,118207,56289,12
Guinea,LI,1197898,1996496,5
Guinea-Bissau,LI,724864,1208106,9
Guyana,LMI,2735543,513235,11
Haiti,LI,9155693,9155693,9
Honduras,LMI,4820009,3324144,13
Hong Kong,HIC,15070417,7573074,20
Iceland,HIC,456624,292708,18
India,LMI,63747767,187493433,3
Indonesia,LMI,97356208,187223476,11
Iran,UMI,10919634,9099695,12
Iraq,LMI,504990,639228,13
Ireland,HIC,13423482,3749576,12
Isle of Man,HIC,170566,81222,12
Israel,HIC,14156957,6677810,14
Italy,HIC,75424246,33822532,6
Jamaica,UMI,507700,2820558,19
Japan,HIC,197041404,115228891,10
Jersey,HIC,189160,90076,12
Jordan,UMI,66470,55392,12
Kenya,LI,818984,2729945,9
Kiribati,LMI,74645,94487,13
"Korea, North",LI,10396490,17327483,9
"Korea, South (Republic of Korea)",HIC,51651728,41654619,9
Kuwait,HIC,13119415,2293604,12
Latvia,UMI,1475040,1432078,12
Lebanon,UMI,4591228,3890871,8
Liberia,LI,1288963,2148271,14
Libya,UMI,4860154,4050128,12
Lithuania,UMI,488283,443894,12
Macao,HIC,379129,257911,25
Madagascar,LI,5649930,7062413,2
Malaysia,UMI,34793183,22890252,13
Maldives,LMI,973566,392567,13
Malta,HIC,720378,404707,12
Marshall Islands,UMI,69703,58086,16
Martinique,HIC,844740,402257,12
Mauritania,LI,502741,1005481,9
Mauritius,UMI,2888690,1255952,10
Mexico,UMI,28083236,22647771,7
Micronesia,LMI,122367,154895,13
Monaco,HIC,71505,34050,12
Montenegro,UMI,312403,260336,12
Montserrat,UMI,6208,5173,12
Morocco,LMI,25263009,17303431,5
Mozambique,LI,1339318,9566559,11
Namibia,UMI,186101,155084,12
Nauru,UMI,18347,15289,12
Netherlands,HIC,19020152,8971770,20
Netherlands Antilles,HIC,477047,227165,12
New Caledonia,HIC,541598,257904,12
New Zealand,HIC,14212359,3862054,9
Nicaragua,LMI,3830918,3482653,13
Nigeria,LMI,21706918,27477112,13
Niue,HIC,3778,1799,12
Norfolk Island,LMI,1703,2156,13
Northern Mariana Islands,HIC,223138,106256,12
Norway,HIC,11568701,4131679,10
Oman,HIC,1818289,2597556,12
Pakistan,LMI,11519742,14581952,13
Palau,UMI,28135,23446,12
Palestine (Gaza Strip is only part on the coast),LMI,2405754,3045258,8
Panama,UMI,3931933,3249531,12
Papua New Guinea,LMI,2170536,2747514,13
Peru,UMI,16518730,13765608,12
Philippines,LMI,41723431,83446862,15
Poland,UMI,2880181,3272933,11
Portugal,HIC,18802572,8507951,12
Puerto Rico,HIC,8924681,4249848,12
Qatar,HIC,868499,653007,12
Reunion,UMI,971311,809426,12
Romania,UMI,910177,875170,4
Russia,UMI,10055659,10812537,12
Saint Helena,UMI,8207,6839,12
Saint Kitts and Nevis,UMI,196756,36102,12
Saint Lucia,UMI,710037,163227,12
"Saint Maarten, DWI",HIC,78601,37429,12
Saint Pierre,HIC,12365,5888,12
Saint Vincent and the Grenadines,UMI,204253,120149,13
Samoa,LMI,132740,168025,13
Sao Tome and Principe,LMI,129355,163740,13
Saudi Arabia,HIC,4671512,3593471,12
Senegal,LMI,6418800,8125063,13
Seychelles,UMI,272256,91361,12
Sierra Leone,LI,1299158,2887017,9
Singapore,HIC,6693816,4492494,13
Slovenia,HIC,407279,336594,12
Solomon Islands,LMI,488756,618678,13
Somalia,LI,3582701,5971169,9
South Africa,UMI,25798402,12899201,12
Spain,HIC,48503269,22771488,13
Sri Lanka,LMI,74297687,14568174,7
Sudan,LMI,594498,752529,13
Suriname,UMI,547078,402263,12
Svalbard,LMI,1759,2226,13
Sweden,HIC,9985597,6202234,3
Syria,LMI,4962136,3621997,13
Taiwan,HIC,46644291,22211567,12
Tanzania,LI,1739061,6688695,9
Thailand,UMI,31252130,26043442,12
The Gambia,LI,701833,1324214,9
Togo,LI,1035654,1991642,11
Tokelau,LMI,1089,1379,13
Tonga,LMI,381655,102872,6
Trinidad and Tobago,HIC,19561435,1358433,25
Tunisia,UMI,8729968,7274973,12
Turkey,UMI,60255866,34042862,12
Turks and Caicos Islands,HIC,47397,22570,12
Tuvalu,UMI,13876,11563,12
Ukraine,LMI,5382111,6812799,13
United Arab Emirates,HIC,3350381,2018302,12
United Kingdom,HIC,77433411,43258889,12
United States,HIC,291346588,112925034,13
Uruguay,HIC,5110554,2433597,12
USVI,HIC,281860,134219,12
Vanuatu,LMI,826071,251851,9
Venezuela,HIC,33799284,16094897,12
Vietnam,LMI,44128014,55858245,13
Yemen,LMI,4778647,6048920,13
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
