State,Mismanaged_2010,Projected_Mismanaged_2025
China,8819717,17814777
Indonesia,3216856,7415202
Philippines,1883659,5088394
Vietnam,1833819,4172828
Sri Lanka,1591179,1918670
Thailand,1027739,2179508
Egypt,967012,1937428
Malaysia,936818,1765977
Nigeria,851493,2481008
Bangladesh,787327,2210230
South Africa,630005,836279
India,599819,2881294
Algeria,520555,1017444
Turkey,485937,790235
Pakistan,480493,1221460
Brazil,471404,954198
Burma Myanmar,458269,1149267
Morocco,310126,706583
"Korea, North",304328,610607
United States,275424,336819
Senegal,254770,738264
Iran,247403,460067
Tunisia,234309,440701
Cote D Ivoire,194558,537163
Peru,194453,377111
